date,cases,url,deaths2,rep_pos_rate2,in_hospital
6/24/2020,1291,https://www.scdhec.gov/news-releases/south-carolina-announces-latest-covid-19-update-June-24-2020,7,NA,NA
6/25/2020,1106,https://www.scdhec.gov/news-releases/south-carolina-announces-latest-covid-19-update-June-25-2020,16,NA,NA
6/26/2020,1273,https://www.scdhec.gov/news-releases/south-carolina-announces-latest-covid-19-update-June-26-2020,10,NA,NA
6/27/2020,1599,https://www.scdhec.gov/news-releases/south-carolina-announces-latest-covid-19-update-June-27-2020,11,0.196,908
6/28/2020,1366,https://www.scdhec.gov/news-releases/south-carolina-announces-latest-covid-19-update-June-28-2020,15,0.201,954
6/29/2020,1320,https://www.scdhec.gov/news-releases/south-carolina-announces-latest-covid-19-update-June-29-2020,12,0.155,1032
6/30/2020,1741,https://www.scdhec.gov/news-releases/south-carolina-announces-latest-covid-19-update-June-30-2020,17,0.19,1021
7/1/2020,1497,https://www.scdhec.gov/news-releases/south-carolina-announces-latest-covid-19-update-July-1-2020,23,0.191,1160
7/2/2020,1629,https://www.scdhec.gov/news-releases/south-carolina-announces-latest-covid-19-update-July-2-2020,20,0.169,1125
7/3/2020,1558,https://www.scdhec.gov/news-releases/south-carolina-announces-latest-covid-19-update-July-3-2020,12,0.207,1148
7/4/2020,1836,https://www.scdhec.gov/news-releases/south-carolina-announces-latest-covid-19-update-July-4-2020,25,0.197,1190
7/5/2020,1463,https://www.scdhec.gov/news-releases/south-carolina-announces-latest-covid-19-update-July-5-2020,18,0.166,1251
7/6/2020,1505,https://www.scdhec.gov/news-releases/south-carolina-announces-latest-covid-19-update-July-6-2020,16,0.188,1260
7/7/2020,934,https://www.scdhec.gov/news-releases/south-carolina-announces-latest-covid-19-update-July-7-2020,18,0.207,1324
7/8/2020,1537,https://www.scdhec.gov/news-releases/south-carolina-announces-latest-covid-19-update-July-8-2020,21,0.21,1404
7/9/2020,1723,https://www.scdhec.gov/news-releases/south-carolina-announces-latest-covid-19-update-July-9-2020,13,0.206,1433
7/10/2020,1725,https://www.scdhec.gov/news-releases/south-carolina-announces-latest-covid-19-update-July-10-2020,15,0.178,1438
7/11/2020,2239,https://www.scdhec.gov/news-releases/south-carolina-announces-latest-covid-19-update-July-11-2020,20,0.222,1396
7/12/2020,1952,https://www.scdhec.gov/news-releases/south-carolina-announces-latest-covid-19-update-July-12-2020,22,0.223,1472
7/13/2020,1532,https://www.scdhec.gov/news-releases/south-carolina-announces-latest-covid-19-update-July-13-2020,16,0.212,1488
7/14/2020,2205,https://www.scdhec.gov/news-releases/south-carolina-announces-latest-covid-19-update-July-14-2020,24,0.215,1550
7/15/2020,1850,https://www.scdhec.gov/news-releases/south-carolina-announces-latest-covid-19-update-July-15-2020,18,0.216,1560
7/16/2020,1842,https://www.scdhec.gov/news-releases/dhec-provides-new-data-individuals-dates-death-latest-covid-19-update-july-16-2020,4,0.213,1578
